záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
310	13.07.2019 16:17	165	1	20	24	0	23	47	9	1	
311	13.07.2019 17:17	169	1	21	24	0	23	47	9	1	
312	13.07.2019 18:17	135	3	19	17	0	23	47	9	1	
313	13.07.2019 19:17	130	3	16	19	0	23	46	9	1	
314	13.07.2019 20:17	182	3	18	31	0	23	46	9	1	
315	13.07.2019 21:17	108	1	15	14	0	23	46	9	1	
316	13.07.2019 22:17	126	0	16	18	0	23	46	9	1	
317	13.07.2019 23:17	175	4	25	22	0	23	46	9	1	
318	14.07.2019 00:17	193	3	28	24	0	23	46	9	1	
319	14.07.2019 01:17	175	4	25	22	0	23	46	9	1	
320	14.07.2019 02:17	181	1	26	24	0	22	46	9	1	
321	14.07.2019 03:17	297	3	40	42	0	22	46	9	1	
322	14.07.2019 04:17	283	4	42	36	0	22	46	9	1	
323	14.07.2019 05:17	236	1	27	38	0	22	46	9	1	
324	14.07.2019 06:17	367	7	45	56	0	22	46	9	1	
325	14.07.2019 07:17	287	4	39	40	0	22	46	9	1	
326	14.07.2019 08:17	172	2	19	28	0	22	47	9	1	
327	14.07.2019 09:17	154	5	15	27	0	22	47	9	1	
328	14.07.2019 10:17	111	2	13	18	0	21	48	9	1	
329	14.07.2019 11:17	71	2	11	8	0	22	49	9	1	
330	14.07.2019 12:17	56	0	2	13	0	22	50	9	1	
331	14.07.2019 13:17	22	0	1	5	0	22	50	9	1	
332	14.07.2019 14:17	26	1	4	3	0	22	50	9	1	
333	14.07.2019 15:17	30	2	3	5	0	22	50	9	1	
334	14.07.2019 16:17	65	1	10	7	0	23	49	9	1	
335	14.07.2019 17:17	53	1	5	9	0	23	49	9	1	
336	14.07.2019 18:17	77	0	10	10	0	23	50	9	1	
337	14.07.2019 19:17	77	0	10	10	0	23	50	9	1	
338	14.07.2019 20:17	104	0	11	16	0	23	50	9	1	
339	14.07.2019 21:17	89	1	11	12	0	23	50	9	1	
340	14.07.2019 22:17	112	3	15	14	0	23	50	9	1	
341	14.07.2019 23:17	135	3	21	15	0	22	50	9	1	
342	15.07.2019 00:17	150	1	21	19	0	22	50	9	1	
343	15.07.2019 01:17	196	2	28	24	0	22	50	9	1	
344	15.07.2019 02:17	177	3	20	27	0	22	50	9	1	
345	15.07.2019 03:17	231	2	32	30	0	22	49	9	1	
346	15.07.2019 04:17	269	4	36	36	0	22	49	9	1	
347	15.07.2019 05:17	239	6	30	34	0	22	49	9	1	
348	15.07.2019 06:17	306	7	40	42	0	22	49	9	1	
349	15.07.2019 07:17	302	6	43	38	0	22	49	9	1	
350	15.07.2019 08:17	235	3	25	38	0	22	49	9	1	
351	15.07.2019 09:17	175	2	18	29	0	22	49	9	1	
352	15.07.2019 10:17	112	1	16	14	0	22	49	9	1	
353	15.07.2019 11:17	134	3	15	20	0	23	49	9	1	
354	15.07.2019 12:17	122	1	14	18	0	23	49	9	1	
355	15.07.2019 13:17	122	4	20	12	0	23	49	9	1	
356	15.07.2019 14:17	125	2	12	21	0	23	48	9	1	
357	15.07.2019 15:17	41	1	1	10	0	23	47	9	1	
358	15.07.2019 16:17	34	1	4	5	0	24	46	9	1	
359	15.07.2019 17:17	18	0	2	3	0	24	45	9	1	
360	15.07.2019 18:17	34	0	7	2	0	24	46	9	1	
361	15.07.2019 19:17	34	0	5	4	0	24	46	9	1	
362	15.07.2019 20:17	38	3	2	8	0	24	46	9	1	
363	15.07.2019 21:17	45	0	7	5	0	24	46	9	1	
364	15.07.2019 22:17	57	0	6	9	0	24	46	9	1	
365	15.07.2019 23:17	68	1	9	9	0	24	46	9	1	
366	16.07.2019 00:17	160	1	25	17	0	24	46	9	1	
367	16.07.2019 01:17	112	4	20	10	1	23	47	9	1	
368	16.07.2019 02:17	146	4	22	17	0	23	47	9	1	
369	16.07.2019 03:17	180	4	25	23	0	23	47	9	1	
370	16.07.2019 04:17	237	4	28	35	0	23	47	9	1	
371	16.07.2019 05:17	214	3	30	27	0	23	47	9	1	
372	16.07.2019 06:17	233	4	31	31	0	23	47	9	1	
373	16.07.2019 07:17	185	3	24	27	0	22	46	9	1	
374	16.07.2019 08:17	132	3	17	19	0	22	47	9	1	
375	16.07.2019 09:17	146	3	18	22	0	22	47	9	1	
376	16.07.2019 10:17	172	3	16	31	0	22	47	9	1	
377	16.07.2019 11:17	172	5	23	24	0	22	47	9	1	
378	16.07.2019 12:17	126	2	13	21	0	23	46	9	1	
379	16.07.2019 13:17	67	0	4	14	0	23	46	9	1	
380	16.07.2019 14:17	66	0	6	12	0	23	45	9	1	
381	16.07.2019 15:17	11	0	2	1	1	24	45	9	1	
382	16.07.2019 16:17	18	0	3	2	0	24	44	9	1	
