time \ channel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
31.05.2019 11:55	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	14	11	1	0	0	0	0	0	1	0	0	2	0	0	0	9	10	6	3	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
31.05.2019 10:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	5	3	20	8	0	0	0	0	0	0	0	0	0	0	0	1	2	5	6	19	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 09:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	2	0	7	14	0	0	0	0	0	0	0	0	0	1	1	1	1	6	9	13	7	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 08:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	1	0	1	4	17	11	1	0	0	0	0	0	1	1	0	0	1	1	1	4	13	15	5	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 07:55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	1	0	0	0	4	2	20	21	0	1	0	1	1	0	0	0	0	1	0	1	0	4	10	22	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 06:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	3	2	6	17	14	1	0	0	0	0	0	0	0	0	4	1	1	6	4	21	15	10	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 05:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	3	3	0	2	9	12	15	0	0	0	0	0	1	0	3	0	0	1	1	2	6	15	23	3	9	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
31.05.2019 04:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	4	3	0	1	3	2	2	24	21	0	0	2	0	0	0	1	1	0	0	0	1	0	7	21	18	5	3	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
31.05.2019 03:55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	18	24	0	0	0	0	1	0	0	2	0	0	0	3	1	2	11	20	4	3	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 02:55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	1	3	0	1	4	0	3	15	19	0	0	0	0	0	0	2	0	0	0	0	1	2	4	20	29	12	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
